genesymbol3	S37	S38	S1	S2
CAGL0B02926g	7.63452395596539	7.58777470851812	0.403364842729739	0.372922278523475
CAGL0M03305g	1.4324829420404	1.46676245222966	-3.7162330380728	-3.7162330380728
CAGL0M11660g	10.580340393485	10.5542371467471	5.99203786736657	5.91673994062343
CAGL0K07546g	11.7330846637292	11.9077735968594	2.4535440549573	2.62539296776359
CAGL0D05104g	-0.854651661234078	-0.932160681910556	-3.7162330380728	-3.7162330380728
CAGL0F00209g	-1.20499608604852	-1.27901749550777	-3.7162330380728	-3.7162330380728
CAGL0M03421g	-1.20499608604852	-1.27901749550777	-3.7162330380728	-3.7162330380728
CAGL0I07546r	-3.7162330380728	-3.7162330380728	-1.02448211114575	-0.907336673841057
CAGL0D06666g	-1.66867446866419	-1.73658465190743	-3.7162330380728	-3.7162330380728
CAGL0K00308r	-3.7162330380728	-3.7162330380728	0.403364842729739	0.192335937121264
CAGL0I10010g	4.13772051939175	4.047854020646	1.36125882347671	1.23970349034134
CAGL0H09262g	2.99007521270214	2.9433342576361	1.36125882347671	1.41479682228955
CAGL0L00583g	6.06529588808045	6.05992182372172	4.84527249440439	4.87427511894947
CAGL0G03949g	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0G09647g	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0H01903r	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0L05192g	-2.35613349227612	-2.41056320196978	-3.7162330380728	-3.7162330380728
CAGL0M02871g	8.37766104550676	8.37470332840937	7.23747770261443	7.21260139681257
