S3	S4	S7	S8	gene.names
382	432	451	301	CAGL0A02651g
1101	1372	677	445	CAGL0A02673g
193	246	514	160	CAGL0A02695g
80	98	195	52	CAGL0A02706g
244	310	635	239	CAGL0A02728g
847	1044	2594	1268	CAGL0A02750g
163	207	95	64	CAGL0A02772g
398	464	361	224	CAGL0A02794g
190	226	322	209	CAGL0A02816g
75	111	118	68	CAGL0A02838g
160	178	193	120	CAGL0A02860g
289	434	726	414	CAGL0A02882g
80	127	155	122	CAGL0A02904g
743	1007	1230	834	CAGL0A02926g
198	242	384	222	CAGL0A02948g
0	0	2	1	CAGL0A02970g
56	69	75	48	CAGL0A02981g
160	200	303	196	CAGL0A02992g
138	203	267	171	CAGL0A03014g
1080	1302	1695	1058	CAGL0A03036g
445	599	524	319	CAGL0A03051g
334	392	616	360	CAGL0A03058g
209	231	292	195	CAGL0A03080g
17	29	13	10	CAGL0A03102g
1898	2114	2744	1760	CAGL0A03117g
113	126	271	194	CAGL0A03146g
10517	12645	6318	4354	CAGL0A03168g
161	195	210	155	CAGL0A03190g
798	945	530	295	CAGL0A03212g
16835	20991	11778	7897	CAGL0A03234g
146	222	146	109	CAGL0A03256g
21091	23920	12200	9287	CAGL0A03278g
1	0	4	0	CAGL0A03300g
185	269	303	167	CAGL0A03322g
158	198	583	386	CAGL0A03344g
77	81	28	16	CAGL0A03355r
1129	1458	3791	2152	CAGL0A03366g
19261	22447	11635	8250	CAGL0A03388g
7	15	6	2	CAGL0A03410g
231	249	300	161	CAGL0A03432g
368	473	415	311	CAGL0A03454g
849	1321	1961	1242	CAGL0A03476g
242	337	418	264	CAGL0A03498g
0	0	0	0	CAGL0A03520r
739	1048	999	763	CAGL0A03542g
218	276	399	284	CAGL0A03564g
4	13	7	8	CAGL0A03586g
174	126	142	78	CAGL0A03608g
188	227	380	246	CAGL0A03630g
658	905	123	116	CAGL0A03652g
157	275	32	21	CAGL0A03674g
660	885	1570	898	CAGL0A03696g
1878	2484	4500	2728	CAGL0A03718g
31	41	194	89	CAGL0A03740g
0	0	0	0	CAGL0A03762r
158	203	226	135	CAGL0A03784g
1	0	0	0	CAGL0A03806g
248	322	239	166	CAGL0A03828g
0	0	0	0	CAGL0A03850r
475	612	1450	826	CAGL0A03872g
141	161	277	147	CAGL0A03883g
76	153	216	69	CAGL0A03905g
476	543	1089	367	CAGL0A03927g
322	453	704	414	CAGL0A03949g
241	300	210	145	CAGL0A03971g
144	227	314	187	CAGL0A03993g
3785	4891	923	925	CAGL0A04015g
702	1002	269	135	CAGL0A04037g
813	1108	757	341	CAGL0A04059g
499	681	873	466	CAGL0A04081g
263	350	858	450	CAGL0A04103g
2315	2909	1876	1086	CAGL0A04125g
82	119	206	132	CAGL0A04147g
540	723	662	499	CAGL0A04169g
451	568	788	239	CAGL0A04191g
672	863	583	351	CAGL0A04213g
292	377	499	324	CAGL0A04235g
856	1117	172	141	CAGL0A04257g
210	303	508	204	CAGL0A04279g
325	440	1158	732	CAGL0A04301g
297	401	526	312	CAGL0A04323g
499	597	1262	683	CAGL0A04345g
91	93	147	98	CAGL0A04367g
192	223	315	237	CAGL0A04389g
337	407	509	331	CAGL0A04411g
659	832	1721	952	CAGL0A04433g
381	488	735	423	CAGL0A04455g
210	246	501	291	CAGL0A04477g
128	212	53	43	CAGL0A04499g
19671	23872	11534	8197	CAGL0A04521g
0	1	1	1	CAGL0A04532r
381	507	312	195	CAGL0A04543g
804	952	1140	743	CAGL0A04565g
57	74	85	53	CAGL0A04587g
345	449	237	167	CAGL0A04631g
310	331	471	302	CAGL0A04653g
20	33	160	101	CAGL0A04675g
226	334	565	387	CAGL0A04697g
859	1072	1914	1096	CAGL0A04719g
1365	1807	2051	1268	CAGL0A04741g
670	796	1215	737	CAGL0A04785g
484	622	1295	761	CAGL0A04807g
956	1197	2427	1605	CAGL0A04829g
0	0	0	0	CAGL0A04873g
0	0	0	0	CAGL0B00105g
0	0	0	1	CAGL0B00110g
0	0	0	0	CAGL0B00116g
0	0	0	0	CAGL0B00165r
0	0	0	0	CAGL0B00220g
0	0	0	0	CAGL0B00242g
0	0	0	0	CAGL0B00264g
571	851	450	374	CAGL0B00286g
229	306	322	206	CAGL0B00308g
472	578	535	323	CAGL0B00330g
790	990	215	202	CAGL0B00352g
241	309	69	41	CAGL0B00374g
586	649	790	499	CAGL0B00396g
676	922	1299	836	CAGL0B00418g
669	946	963	717	CAGL0B00440g
3	7	8	6	CAGL0B00462g
1006	1139	257	278	CAGL0B00484g
323	421	556	356	CAGL0B00506g
206	249	360	220	CAGL0B00528g
1122	1285	1317	795	CAGL0B00550g
4	3	7	4	CAGL0B00572g
2704	3670	3340	2008	CAGL0B00594g
15	7	18	10	CAGL0B00616g
93	146	214	139	CAGL0B00638g
694	841	1098	713	CAGL0B00660g
207	285	370	278	CAGL0B00682g
2752	3195	6644	3638	CAGL0B00704g
0	4	12	6	CAGL0B00715g
3	6	13	3	CAGL0B00726g
268	295	821	535	CAGL0B00748g
184	285	495	305	CAGL0B00770g
1592	1932	309	265	CAGL0B00792g
335	444	1057	584	CAGL0B00814g
253	347	198	134	CAGL0B00836g
178	231	329	220	CAGL0B00858g
424	513	214	163	CAGL0B00880g
808	1061	2280	1265	CAGL0B00902g
78	86	182	121	CAGL0B00924g
544	759	1826	912	CAGL0B00946g
13	6	22	11	CAGL0B00968g
100	216	381	218	CAGL0B00990g
11	7	8	4	CAGL0B01012g
1	1	0	0	CAGL0B01034r
35	51	152	88	CAGL0B01078g
209	289	593	195	CAGL0B01100g
7699	9501	3303	2486	CAGL0B01122g
174	270	430	217	CAGL0B01144g
527	652	780	518	CAGL0B01166g
552	691	721	473	CAGL0B01188g
9832	11551	5711	4280	CAGL0B01203g
557	701	179	99	CAGL0B01232g
0	0	0	0	CAGL0B01243g
6	6	2	4	CAGL0B01265g
171	170	239	134	CAGL0B01287g
0	3	2	1	CAGL0B01309r
257	313	434	279	CAGL0B01331g
398	555	593	339	CAGL0B01353g
1168	1498	1669	1096	CAGL0B01375g
437	554	132	102	CAGL0B01397g
612	668	2276	1194	CAGL0B01419g
744	1063	1108	630	CAGL0B01441g
452	565	382	205	CAGL0B01463g
301	405	145	116	CAGL0B01485g
225	297	170	101	CAGL0B01507g
74	83	150	76	CAGL0B01529g
446	628	686	567	CAGL0B01551g
223	317	159	117	CAGL0B01573g
225	286	322	242	CAGL0B01589g
58	52	103	75	CAGL0B01595g
260	251	302	189	CAGL0B01617g
252	336	452	360	CAGL0B01639g
0	0	0	0	CAGL0B01661r
920	1232	1076	704	CAGL0B01683g
170	202	242	162	CAGL0B01705g
126	201	226	154	CAGL0B01727g
52	56	115	66	CAGL0B01743g
320	400	205	147	CAGL0B01771g
312	366	589	381	CAGL0B01793g
477	558	886	490	CAGL0B01815g
414	511	361	235	CAGL0B01837g
91	129	118	83	CAGL0B01859g
1	0	1	0	CAGL0B01875g
584	812	231	165	CAGL0B01881g
350	435	476	334	CAGL0B01903g
66	74	291	177	CAGL0B01925g
1504	2138	1697	1086	CAGL0B01947g
16	23	42	21	CAGL0B01969g
111	164	219	120	CAGL0B01991g
110	194	233	114	CAGL0B02013g
1175	1443	2539	1586	CAGL0B02035g
44	55	39	34	CAGL0B02057g
1	0	3	1	CAGL0B02079g
149	195	368	206	CAGL0B02101g
187	223	374	276	CAGL0B02123g
10	15	5	3	CAGL0B02137r
380	422	379	244	CAGL0B02145g
544	660	1100	646	CAGL0B02167g
1430	1776	1564	1103	CAGL0B02189g
211	274	317	226	CAGL0B02211g
181	170	253	173	CAGL0B02233g
328	394	651	379	CAGL0B02255g
284	349	172	118	CAGL0B02277g
77	106	137	85	CAGL0B02299g
1291	1611	1418	977	CAGL0B02321g
22	43	30	10	CAGL0B02343g
283	418	562	257	CAGL0B02365g
58	63	194	136	CAGL0B02387g
269	349	476	234	CAGL0B02409g
395	423	1613	860	CAGL0B02431g
226	302	963	576	CAGL0B02453g
32	50	24690	13262	CAGL0B02475g
1188	1551	1957	869	CAGL0B02497g
813	1111	993	575	CAGL0B02519g
509	626	668	446	CAGL0B02541g
278	407	1537	784	CAGL0B02563g
1860	2172	1244	917	CAGL0B02585g
1028	1260	777	529	CAGL0B02607g
385	453	636	370	CAGL0B02629g
0	1	2	5	CAGL0B02651g
218	298	229	199	CAGL0B02673g
169	235	491	317	CAGL0B02695g
4267	6052	6522	3882	CAGL0B02717g
203	291	432	254	CAGL0B02739g
93	109	354	180	CAGL0B02755g
124	148	217	125	CAGL0B02761g
94	172	236	156	CAGL0B02772g
679	760	939	525	CAGL0B02794g
157	183	196	153	CAGL0B02816g
143	208	344	170	CAGL0B02838g
137	174	606	361	CAGL0B02860g
5	5	83	43	CAGL0B02882g
2	6	15	4	CAGL0B02904g
3	1	881	668	CAGL0B02926g
18	29	76	37	CAGL0B02948g
92	68	795	425	CAGL0B02970g
182	177	551	340	CAGL0B02981g
217	238	688	421	CAGL0B03014g
7459	8568	5582	3261	CAGL0B03047g
2349	2858	9597	5154	CAGL0B03069g
229	280	236	134	CAGL0B03091g
154	223	270	157	CAGL0B03113g
0	0	0	0	CAGL0B03135r
329	398	480	318	CAGL0B03179g
70	94	470	267	CAGL0B03201g
1	1	1	0	CAGL0B03223g
1836	2196	2062	1401	CAGL0B03245g
296	385	679	380	CAGL0B03267g
198	260	418	255	CAGL0B03289g
37	65	133	64	CAGL0B03311g
547	661	636	434	CAGL0B03333g
129	173	228	138	CAGL0B03355g
190	247	270	188	CAGL0B03377g
548	697	862	612	CAGL0B03399g
222	310	289	163	CAGL0B03421g
142	186	393	251	CAGL0B03443g
60	86	321	164	CAGL0B03465g
25574	32395	18280	13454	CAGL0B03487g
812	1023	2111	1338	CAGL0B03509g
4	1	5	4	CAGL0B03520r
20	24	57	41	CAGL0B03531g
947	1147	1340	828	CAGL0B03553g
336	452	598	330	CAGL0B03575g
412	533	790	387	CAGL0B03597g
84	123	223	127	CAGL0B03608g
229	296	1305	699	CAGL0B03619g
215	315	297	198	CAGL0B03641g
93	97	91	19	CAGL0B03663g
2712	3034	6735	3756	CAGL0B03685g
287	413	282	216	CAGL0B03707g
0	0	0	0	CAGL0B03729r
1061	1342	1264	793	CAGL0B03773g
1730	2210	1002	648	CAGL0B03795g
137	174	1030	524	CAGL0B03817g
90	87	253	131	CAGL0B03839g
282	345	443	276	CAGL0B03855g
72	124	75	42	CAGL0B03861g
329	487	515	306	CAGL0B03883g
25	29	81	42	CAGL0B03899g
231	299	408	255	CAGL0B03905g
1027	1157	867	600	CAGL0B03927g
87	81	177	99	CAGL0B03949g
227	276	460	277	CAGL0B03971g
3083	3755	2096	1358	CAGL0B03993g
434	510	468	299	CAGL0B04015g
257	311	493	315	CAGL0B04037g
138	164	377	208	CAGL0B04059g
0	0	1	1	CAGL0B04081r
109	153	321	191	CAGL0B04103g
1423	1955	372	293	CAGL0B04125g
424	589	445	293	CAGL0B04147g
734	1048	162	155	CAGL0B04169g
531	728	661	438	CAGL0B04191g
45	108	77	76	CAGL0B04213g
14	16	15	8	CAGL0B04235g
22254	26513	8350	5838	CAGL0B04257g
222	362	140	123	CAGL0B04279g
252	325	188	145	CAGL0B04301g
266	327	804	437	CAGL0B04323g
3394	4183	2195	1476	CAGL0B04345g
103	144	406	254	CAGL0B04367g
351	395	480	353	CAGL0B04389g
121	152	191	112	CAGL0B04411g
573	631	182	131	CAGL0B04433g
19	21	12	7	CAGL0B04455g
184	198	264	165	CAGL0B04477g
766	946	1227	715	CAGL0B04499g
699	961	1335	680	CAGL0B04521g
298	404	534	294	CAGL0B04543g
2238	3072	2769	1801	CAGL0B04565g
1010	1307	1661	911	CAGL0B04587g
247	309	363	234	CAGL0B04609g
728	877	1167	824	CAGL0B04631g
0	0	0	0	CAGL0B04653s
57	71	56	38	CAGL0B04675g
665	784	897	604	CAGL0B04697g
64	105	104	79	CAGL0B04719g
188	252	353	220	CAGL0B04741g
149	188	185	95	CAGL0B04763g
50	86	77	37	CAGL0B04785g
1001	1270	1221	695	CAGL0B04807g
174	275	237	166	CAGL0B04829g
591	778	909	579	CAGL0B04851g
196	282	269	191	CAGL0B04873g
193	220	244	147	CAGL0B04895g
73	120	198	126	CAGL0B04917g
40	64	118	47	CAGL0B04939g
913	1149	472	366	CAGL0B04961g
201	242	374	234	CAGL0B04983g
0	1	0	0	CAGL0B05005r
0	0	0	0	CAGL0B05027r
333	399	533	325	CAGL0B05049g
0	0	0	0	CAGL0B05093g
0	0	0	0	CAGL0B05126g
0	0	0	0	CAGL0B05137g
0	0	0	0	CAGL0B05148g
13	62	44	48	CAGL0C00110g
3	1	6	1	CAGL0C00209g
4	7	3	4	CAGL0C00231g
2	0	1	2	CAGL0C00253g
210	411	1654	948	CAGL0C00275g
424	522	503	332	CAGL0C00297g
488	625	1097	667	CAGL0C00319g
328	392	422	242	CAGL0C00341g
444	588	885	525	CAGL0C00363g
429	508	625	359	CAGL0C00385g
186	190	420	274	CAGL0C00407g
232	323	449	298	CAGL0C00429g
320	345	1197	655	CAGL0C00451g
325	416	407	297	CAGL0C00473g
180	236	255	156	CAGL0C00495g
300	365	513	268	CAGL0C00517g
213	266	518	312	CAGL0C00539g
172	197	242	145	CAGL0C00561g
369	480	354	246	CAGL0C00583g
127	172	218	136	CAGL0C00605g
144	219	264	205	CAGL0C00627g
1332	1677	2618	1506	CAGL0C00649g
180	251	540	186	CAGL0C00671g
649	848	1495	879	CAGL0C00693g
281	344	202	137	CAGL0C00715g
824	1095	242	209	CAGL0C00737g
475	696	188	156	CAGL0C00759g
1	3	5	2	CAGL0C00781g
86	111	141	87	CAGL0C00847g
4	3	4	3	CAGL0C00946g
42	62	90	37	CAGL0C00968g
29	34	64	21	CAGL0C01056g
46	42	76	26	CAGL0C01067g
17	8	12	5	CAGL0C01078g
167	197	275	109	CAGL0C01133g
110	142	219	116	CAGL0C01155g
379	549	561	374	CAGL0C01177g
426	575	395	275	CAGL0C01199g
1067	1428	672	399	CAGL0C01221g
745	884	1899	912	CAGL0C01243g
496	665	576	413	CAGL0C01265g
287	354	175	108	CAGL0C01287g
277	331	254	174	CAGL0C01309g
1120	1668	1718	1168	CAGL0C01325g
414	526	235	163	CAGL0C01331g
637	832	1536	890	CAGL0C01353g
317	437	865	502	CAGL0C01375g
9	18	101	57	CAGL0C01397g
218	309	102	76	CAGL0C01419g
132	176	226	138	CAGL0C01435g
921	1078	377	302	CAGL0C01441g
144	171	220	140	CAGL0C01463g
393	509	655	405	CAGL0C01485g
255	341	463	273	CAGL0C01507g
522	675	844	428	CAGL0C01529g
207	292	601	349	CAGL0C01551g
3052	3870	3353	1769	CAGL0C01573g
885	1007	2180	1165	CAGL0C01595g
5	1	6	0	CAGL0C01617g
870	1140	133	156	CAGL0C01639g
203	261	279	188	CAGL0C01661g
778	980	1215	855	CAGL0C01683g
640	806	1366	753	CAGL0C01705g
405	535	721	474	CAGL0C01727g
458	625	734	411	CAGL0C01749g
87	114	407	249	CAGL0C01771g
152	192	377	245	CAGL0C01793g
406	497	804	416	CAGL0C01815g
114	142	359	190	CAGL0C01837g
0	5	0	2	CAGL0C01859g
286	404	659	389	CAGL0C01881g
115	152	160	74	CAGL0C01903g
2	6	0	2	CAGL0C01919g
327	413	126	131	CAGL0C01925g
2896	3421	2201	1612	CAGL0C01947g
208	277	332	208	CAGL0C01969g
62	92	148	83	CAGL0C01991g
350	378	789	456	CAGL0C02013g
1219	1607	1653	1010	CAGL0C02035g
10	16	13	9	CAGL0C02057g
110	179	149	118	CAGL0C02079g
240	308	469	278	CAGL0C02101g
586	717	1007	627	CAGL0C02123g
347	402	642	426	CAGL0C02145g
437	604	809	519	CAGL0C02167g
7619	9350	6377	4055	CAGL0C02189g
1044	1220	864	462	CAGL0C02211g
518	761	524	368	CAGL0C02233g
50	40	66	38	CAGL0C02255g
311	445	296	205	CAGL0C02277g
151	195	34	37	CAGL0C02299g
127	171	1227	737	CAGL0C02321g
3478	4383	1611	1000	CAGL0C02343g
11	6	55	23	CAGL0C02365g
60	101	76	23	CAGL0C02387g
164	208	254	167	CAGL0C02409g
248	310	312	210	CAGL0C02431g
534	714	901	311	CAGL0C02453g
411	625	431	336	CAGL0C02475g
207	269	155	106	CAGL0C02497g
92	161	39	23	CAGL0C02519g
429	543	558	343	CAGL0C02541g
402	550	547	409	CAGL0C02563g
362	506	269	160	CAGL0C02585g
191	228	363	234	CAGL0C02607g
947	1200	1225	870	CAGL0C02623g
0	0	0	1	CAGL0C02629g
190	192	274	153	CAGL0C02651g
307	364	481	307	CAGL0C02673g
198	282	237	160	CAGL0C02695g
95	141	157	107	CAGL0C02717g
133	240	1284	765	CAGL0C02739g
813	1051	1142	701	CAGL0C02761g
1	0	1	1	CAGL0C02783g
194	286	269	156	CAGL0C02805g
335	355	395	244	CAGL0C02827g
207	268	452	288	CAGL0C02849g
134	159	246	163	CAGL0C02871g
368	414	642	373	CAGL0C02893g
95	96	158	101	CAGL0C02937g
816	1034	1362	842	CAGL0C02959g
572	857	424	241	CAGL0C02981g
360	456	217	157	CAGL0C03003g
568	760	753	522	CAGL0C03025g
635	854	1026	394	CAGL0C03047g
931	1240	2151	937	CAGL0C03069g
1	0	0	1	CAGL0C03091r
515	737	2235	1304	CAGL0C03113g
269	316	275	219	CAGL0C03135g
0	0	0	0	CAGL0C03157r
543	681	905	580	CAGL0C03179g
356	408	565	362	CAGL0C03201g
624	841	496	382	CAGL0C03223g
34	30	64	27	CAGL0C03245g
470	652	777	475	CAGL0C03267g
299	267	215	71	CAGL0C03289g
50	78	209	117	CAGL0C03311g
218	279	302	164	CAGL0C03333g
163	221	78	53	CAGL0C03355g
1613	2077	389	328	CAGL0C03369g
6	8	0	1	CAGL0C03384r
594	771	978	548	CAGL0C03399g
396	569	574	370	CAGL0C03421g
3	3	0	3	CAGL0C03432r
572	675	798	394	CAGL0C03443g
201	260	565	358	CAGL0C03465g
137	198	207	106	CAGL0C03487g
367	547	872	579	CAGL0C03509g
491	700	196	119	CAGL0C03531g
136	172	252	82	CAGL0C03553g
0	0	1	0	CAGL0C03575g
608	851	1654	879	CAGL0C03597g
1192	1559	2024	1062	CAGL0C03608g
1012	1173	604	462	CAGL0C03630g
319	425	468	250	CAGL0C03652g
95	104	246	143	CAGL0C03674g
81	115	244	145	CAGL0C03696g
0	0	0	0	CAGL0C03718r
368	787	726	524	CAGL0C03740g
107	184	130	79	CAGL0C03762g
409	522	454	270	CAGL0C03784g
0	0	0	0	CAGL0C03806r
22	28	32	16	CAGL0C03828g
175	228	513	286	CAGL0C03850g
23	20	46	14	CAGL0C03872g
268	367	583	383	CAGL0C03894g
39	43	110	60	CAGL0C03916g
0	0	0	0	CAGL0C03938g
0	0	0	0	CAGL0C03960g
0	0	0	0	CAGL0C03982g
37	51	70	53	CAGL0C04004g
192	264	411	272	CAGL0C04026g
778	1020	1157	680	CAGL0C04048g
0	0	0	0	CAGL0C04070r
146	198	416	213	CAGL0C04092g
2187	2530	2543	1677	CAGL0C04114g
2177	2291	2553	1661	CAGL0C04136g
232	268	291	196	CAGL0C04169g
194	275	816	502	CAGL0C04191g
1	2	1	0	CAGL0C04213g
230	336	209	139	CAGL0C04235g
416	468	632	465	CAGL0C04257g
318	404	161	112	CAGL0C04279g
2532	3149	1734	1411	CAGL0C04301g
11	20	61	52	CAGL0C04323g
0	0	0	0	CAGL0C04345s
420	483	926	541	CAGL0C04367g
3570	4406	4305	2546	CAGL0C04389g
1523	1965	1511	1043	CAGL0C04411g
598	802	948	688	CAGL0C04433g
304	378	498	219	CAGL0C04455g
385	494	704	399	CAGL0C04477g
273	335	519	239	CAGL0C04499g
0	0	0	0	CAGL0C04521r
95	104	502	254	CAGL0C04543g
174	240	67	45	CAGL0C04565g
257	332	773	438	CAGL0C04587g
156	217	699	356	CAGL0C04609g
111	138	273	156	CAGL0C04631g
1	0	0	0	CAGL0C04653r
556	658	1180	619	CAGL0C04697g
124	174	282	137	CAGL0C04719g
602	560	3255	932	CAGL0C04741g
295	315	594	375	CAGL0C04763g
4	8	10	4	CAGL0C04785g
454	449	893	526	CAGL0C04807g
81	147	120	69	CAGL0C04829g
196	240	214	126	CAGL0C04851g
526	715	832	440	CAGL0C04873g
132	212	406	244	CAGL0C04895g
637	973	805	492	CAGL0C04917g
5	8	2	2	CAGL0C04933g
65	96	499	322	CAGL0C04939g
262	393	571	348	CAGL0C04961g
1428	1756	1709	1065	CAGL0C04983g
70	94	145	110	CAGL0C05005g
15	15	195	120	CAGL0C05027g
455	628	1145	706	CAGL0C05049g
284	356	584	350	CAGL0C05071g
577	690	1737	947	CAGL0C05093g
378	600	210	130	CAGL0C05115g
2315	3122	3750	1983	CAGL0C05137g
457	624	1463	968	CAGL0C05159g
896	1272	433	302	CAGL0C05181g
261	368	404	290	CAGL0C05203g
177	272	368	239	CAGL0C05225g
484	683	1127	598	CAGL0C05247g
145	253	433	276	CAGL0C05269g
293	390	447	297	CAGL0C05291g
1220	1619	1288	856	CAGL0C05313g
55	49	76	43	CAGL0C05335g
411	546	583	405	CAGL0C05357g
8882	9975	5132	3644	CAGL0C05379g
0	1	2	1	CAGL0C05401g
170	239	261	159	CAGL0C05423g
159	170	106	73	CAGL0C05445g
227	268	316	214	CAGL0C05461g
2	3	0	0	CAGL0C05467g
104	138	296	179	CAGL0C05489g
883	1172	1417	936	CAGL0C05511g
69	90	255	142	CAGL0C05533g
110	151	289	164	CAGL0C05555g
2	2	4	4	CAGL0C05577g
224	213	264	180	CAGL0C05599g
0	0	3	0	CAGL0C05621g
0	1	0	1	CAGL0C05643g
0	0	0	0	CAGL0D00105g
0	0	0	0	CAGL0D00110g
0	0	0	0	CAGL0D00116g
3	5	8	3	CAGL0D00154g
5697	6192	2820	1761	CAGL0D00176g
13	17	83	45	CAGL0D00198g
202	310	26	20	CAGL0D00220g
319	421	434	259	CAGL0D00242g
28	52	35	19	CAGL0D00264g
602	710	1055	799	CAGL0D00286g
0	0	0	0	CAGL0D00308r
148	210	172	130	CAGL0D00330g
35	48	109	61	CAGL0D00352g
0	0	1	0	CAGL0D00374g
0	0	0	0	CAGL0D00396g
420	512	1129	696	CAGL0D00418g
232	315	220	135	CAGL0D00440g
435	484	773	479	CAGL0D00462g
2017	2518	2230	1653	CAGL0D00484g
128	198	193	117	CAGL0D00506g
12507	16754	15452	9607	CAGL0D00528g
2220	2756	777	712	CAGL0D00550g
154	214	324	226	CAGL0D00572g
357	528	593	375	CAGL0D00594g
10026	11737	6049	4631	CAGL0D00616g
6	12	3	0	CAGL0D00627r
792	900	670	494	CAGL0D00638g
165	237	471	290	CAGL0D00660g
421	585	231	135	CAGL0D00682g
275	366	918	526	CAGL0D00704g
82	121	130	94	CAGL0D00726g
553	744	798	546	CAGL0D00748g
911	1176	1685	1045	CAGL0D00770g
287	363	630	352	CAGL0D00792g
461	654	804	468	CAGL0D00814g
821	1021	341	281	CAGL0D00836g
6331	7749	4208	3144	CAGL0D00858g
2	3	0	0	CAGL0D00869g
1298	1614	235	206	CAGL0D00880g
93	107	232	140	CAGL0D00902g
410	453	735	482	CAGL0D00924g
52	114	169	124	CAGL0D00946g
54	68	539	297	CAGL0D00990g
413	564	624	424	CAGL0D01012g
5084	5553	6609	4416	CAGL0D01034g
94	142	235	110	CAGL0D01056g
1948	2525	2571	1612	CAGL0D01078g
269	338	867	498	CAGL0D01100g
467	600	646	426	CAGL0D01122g
325	356	554	366	CAGL0D01144g
99	109	139	85	CAGL0D01166g
